Hour,Average (49),Average (48),Average (27),Average (51),Average (52),Average (31)
0,0.824907522,0.003008273,66.88213441,13.61419852,1.748519788,25.57572383
1,0,0,22.19199731,3.307692308,1.593961799,8.71875
2,0.029411765,0.019014085,8.674560217,1.191496164,1.014188772,4.580357143
3,0.643948781,0.022770398,3.787868633,2.02931701,1.012003693,7.695321001
4,0.364915184,0.01902497,15.0805099,1.11057846,1.102445063,8.378076063
5,6.738987238,31.76346939,95.71093226,23.27079304,1.014188772,25.18191964
6,181.0214869,31.90881388,137.6505739,265.4366013,23.51447936,170.6546275
7,513.7523452,236.9926575,464.126539,419.2273312,225.546115,477.2488938
8,660.9907895,519.0687378,593.6682448,491.6803726,291.3561426,627.1922222
9,794.3428571,616.2607702,592.0740489,509.4677419,325.3418885,765.9504505
10,884.9811727,725.133574,619.5205154,543.7444089,335.5539432,812.5302166
11,930.1198439,547.7042066,657.6032609,537.7389393,288.1911602,708.121179
12,917.1380872,467.4006522,668.9143244,586.4399873,305.8587657,522.7414966
13,879.6648707,478.7763547,694.7900477,622.531321,277.5468315,551.1096045
14,811.7288393,522.3935644,668.5679973,594.820174,249.5123381,609.2659341
15,718.0414658,440.0652496,644.9781218,513.9135703,290.1665122,575.5290179
16,557.4857904,365.4759124,623.2857628,545.8271728,239.4677011,474.9807692
17,375.4170249,179.1370968,529.7134641,432.1491341,126.2163743,326.0654628
18,279.6435304,91.89454294,486.3343486,373.5400781,107.3943396,268.1081967
19,165.2394889,19.35272086,407.7542604,300.4727099,84.93630573,247.6146893
20,69.56114519,0.338823529,374.771565,264.0099678,55.54152516,225.9648924
21,39.6187979,0.173220974,329.4008208,205.8384935,65.69867243,144.6017998
22,20.91947946,0.345372993,200.053632,95.35375562,15.7922358,85.84462617
23,5.687576375,0.807855892,123.3470568,33.11314125,5.805739514,33.89988623